tick,day,resident,phrase_key,resident_reply_key,reply_text,schedule_reference,memory_reference,debt_reference,no_llm_call,no_autonomous_language_claim,private_workspace_hidden
0,1,Tovan,ask_schedule,greets_cautiously,Tovan greets cautiously; phrase=ask_schedule; no generated open chat.,carry water,v60:tovan:water_carry:d001:s00,water carry,True,True,True
3782,211,Ari,apologize,explains_debt,Ari explains debt; phrase=apologize; no generated open chat.,map safe route,v60:ari:missed_greeting:d211:s02,missed greeting,True,True,True
3783,211,Fay,ask_debt,declines_politely,Fay declines politely; phrase=ask_debt; no generated open chat.,rest after rain,v60:fay:care_favor:d211:s03,care favor,True,True,True
3784,211,Milo,thank,names_current_task,Milo names current task; phrase=thank; no generated open chat.,recover focus,v60:milo:route_warning:d211:s04,route warning,True,True,True
3785,211,Sera,request_space,asks_for_space,Sera asks for space; phrase=request_space; no generated open chat.,repair awning,v60:sera:tool_loan:d211:s05,tool loan,True,True,True
3786,211,Tovan,greet,thanks_briefly,Tovan thanks briefly; phrase=greet; no generated open chat.,sort herbs,v60:tovan:water_carry:d211:s06,water carry,True,True,True
3787,211,Nia,ask_schedule,greets_cautiously,Nia greets cautiously; phrase=ask_schedule; no generated open chat.,carry water,v60:nia:repair_promise:d211:s07,repair promise,True,True,True
3788,211,Ari,offer_help,accepts_bounded_help,Ari accepts bounded help; phrase=offer_help; no generated open chat.,dry cloaks,v60:ari:missed_greeting:d211:s08,missed greeting,True,True,True
3789,211,Fay,apologize,explains_debt,Fay explains debt; phrase=apologize; no generated open chat.,map safe route,v60:fay:care_favor:d211:s09,care favor,True,True,True
3790,211,Milo,ask_debt,declines_politely,Milo declines politely; phrase=ask_debt; no generated open chat.,rest after rain,v60:milo:route_warning:d211:s10,route warning,True,True,True
3791,211,Sera,thank,names_current_task,Sera names current task; phrase=thank; no generated open chat.,recover focus,v60:sera:tool_loan:d211:s11,tool loan,True,True,True
3792,211,Tovan,request_space,asks_for_space,Tovan asks for space; phrase=request_space; no generated open chat.,repair awning,v60:tovan:water_carry:d211:s12,water carry,True,True,True
3793,211,Nia,greet,thanks_briefly,Nia thanks briefly; phrase=greet; no generated open chat.,sort herbs,v60:nia:repair_promise:d211:s13,repair promise,True,True,True
3794,211,Ari,ask_schedule,greets_cautiously,Ari greets cautiously; phrase=ask_schedule; no generated open chat.,carry water,v60:ari:missed_greeting:d211:s14,missed greeting,True,True,True
3795,211,Fay,offer_help,accepts_bounded_help,Fay accepts bounded help; phrase=offer_help; no generated open chat.,dry cloaks,v60:fay:care_favor:d211:s15,care favor,True,True,True
3796,211,Milo,apologize,explains_debt,Milo explains debt; phrase=apologize; no generated open chat.,map safe route,v60:milo:route_warning:d211:s16,route warning,True,True,True
3797,211,Sera,ask_debt,declines_politely,Sera declines politely; phrase=ask_debt; no generated open chat.,rest after rain,v60:sera:tool_loan:d211:s17,tool loan,True,True,True
3798,212,Tovan,request_space,explains_debt,Tovan explains debt; phrase=request_space; no generated open chat.,repair awning,v60:tovan:repair_promise:d212:s00,repair promise,True,True,True
3799,212,Nia,greet,declines_politely,Nia declines politely; phrase=greet; no generated open chat.,sort herbs,v60:nia:missed_greeting:d212:s01,missed greeting,True,True,True
3800,212,Ari,ask_schedule,names_current_task,Ari names current task; phrase=ask_schedule; no generated open chat.,carry water,v60:ari:care_favor:d212:s02,care favor,True,True,True
3801,212,Fay,offer_help,asks_for_space,Fay asks for space; phrase=offer_help; no generated open chat.,dry cloaks,v60:fay:route_warning:d212:s03,route warning,True,True,True
3802,212,Milo,apologize,thanks_briefly,Milo thanks briefly; phrase=apologize; no generated open chat.,map safe route,v60:milo:tool_loan:d212:s04,tool loan,True,True,True
3803,212,Sera,ask_debt,greets_cautiously,Sera greets cautiously; phrase=ask_debt; no generated open chat.,rest after rain,v60:sera:water_carry:d212:s05,water carry,True,True,True
3804,212,Tovan,thank,accepts_bounded_help,Tovan accepts bounded help; phrase=thank; no generated open chat.,recover focus,v60:tovan:repair_promise:d212:s06,repair promise,True,True,True
3805,212,Nia,request_space,explains_debt,Nia explains debt; phrase=request_space; no generated open chat.,repair awning,v60:nia:missed_greeting:d212:s07,missed greeting,True,True,True
3806,212,Ari,greet,declines_politely,Ari declines politely; phrase=greet; no generated open chat.,sort herbs,v60:ari:care_favor:d212:s08,care favor,True,True,True
3807,212,Fay,ask_schedule,names_current_task,Fay names current task; phrase=ask_schedule; no generated open chat.,carry water,v60:fay:route_warning:d212:s09,route warning,True,True,True
3808,212,Milo,offer_help,asks_for_space,Milo asks for space; phrase=offer_help; no generated open chat.,dry cloaks,v60:milo:tool_loan:d212:s10,tool loan,True,True,True
3809,212,Sera,apologize,thanks_briefly,Sera thanks briefly; phrase=apologize; no generated open chat.,map safe route,v60:sera:water_carry:d212:s11,water carry,True,True,True
3810,212,Tovan,ask_debt,greets_cautiously,Tovan greets cautiously; phrase=ask_debt; no generated open chat.,rest after rain,v60:tovan:repair_promise:d212:s12,repair promise,True,True,True
3811,212,Nia,thank,accepts_bounded_help,Nia accepts bounded help; phrase=thank; no generated open chat.,recover focus,v60:nia:missed_greeting:d212:s13,missed greeting,True,True,True
3812,212,Ari,request_space,explains_debt,Ari explains debt; phrase=request_space; no generated open chat.,repair awning,v60:ari:care_favor:d212:s14,care favor,True,True,True
3813,212,Fay,greet,declines_politely,Fay declines politely; phrase=greet; no generated open chat.,sort herbs,v60:fay:route_warning:d212:s15,route warning,True,True,True
3814,212,Milo,ask_schedule,names_current_task,Milo names current task; phrase=ask_schedule; no generated open chat.,carry water,v60:milo:tool_loan:d212:s16,tool loan,True,True,True
3815,212,Sera,offer_help,asks_for_space,Sera asks for space; phrase=offer_help; no generated open chat.,dry cloaks,v60:sera:water_carry:d212:s17,water carry,True,True,True
3816,213,Tovan,ask_debt,names_current_task,Tovan names current task; phrase=ask_debt; no generated open chat.,rest after rain,v60:tovan:missed_greeting:d213:s00,missed greeting,True,True,True
3817,213,Nia,thank,asks_for_space,Nia asks for space; phrase=thank; no generated open chat.,recover focus,v60:nia:care_favor:d213:s01,care favor,True,True,True
3818,213,Ari,request_space,thanks_briefly,Ari thanks briefly; phrase=request_space; no generated open chat.,repair awning,v60:ari:route_warning:d213:s02,route warning,True,True,True
3819,213,Fay,greet,greets_cautiously,Fay greets cautiously; phrase=greet; no generated open chat.,sort herbs,v60:fay:tool_loan:d213:s03,tool loan,True,True,True
3820,213,Milo,ask_schedule,accepts_bounded_help,Milo accepts bounded help; phrase=ask_schedule; no generated open chat.,carry water,v60:milo:water_carry:d213:s04,water carry,True,True,True
3821,213,Sera,offer_help,explains_debt,Sera explains debt; phrase=offer_help; no generated open chat.,dry cloaks,v60:sera:repair_promise:d213:s05,repair promise,True,True,True
3822,213,Tovan,apologize,declines_politely,Tovan declines politely; phrase=apologize; no generated open chat.,map safe route,v60:tovan:missed_greeting:d213:s06,missed greeting,True,True,True
3823,213,Nia,ask_debt,names_current_task,Nia names current task; phrase=ask_debt; no generated open chat.,rest after rain,v60:nia:care_favor:d213:s07,care favor,True,True,True
3824,213,Ari,thank,asks_for_space,Ari asks for space; phrase=thank; no generated open chat.,recover focus,v60:ari:route_warning:d213:s08,route warning,True,True,True
3825,213,Fay,request_space,thanks_briefly,Fay thanks briefly; phrase=request_space; no generated open chat.,repair awning,v60:fay:tool_loan:d213:s09,tool loan,True,True,True
3826,213,Milo,greet,greets_cautiously,Milo greets cautiously; phrase=greet; no generated open chat.,sort herbs,v60:milo:water_carry:d213:s10,water carry,True,True,True
3827,213,Sera,ask_schedule,accepts_bounded_help,Sera accepts bounded help; phrase=ask_schedule; no generated open chat.,carry water,v60:sera:repair_promise:d213:s11,repair promise,True,True,True
3828,213,Tovan,offer_help,explains_debt,Tovan explains debt; phrase=offer_help; no generated open chat.,dry cloaks,v60:tovan:missed_greeting:d213:s12,missed greeting,True,True,True
3829,213,Nia,apologize,declines_politely,Nia declines politely; phrase=apologize; no generated open chat.,map safe route,v60:nia:care_favor:d213:s13,care favor,True,True,True
3830,213,Ari,ask_debt,names_current_task,Ari names current task; phrase=ask_debt; no generated open chat.,rest after rain,v60:ari:route_warning:d213:s14,route warning,True,True,True
3831,213,Fay,thank,asks_for_space,Fay asks for space; phrase=thank; no generated open chat.,recover focus,v60:fay:tool_loan:d213:s15,tool loan,True,True,True
3832,213,Milo,request_space,thanks_briefly,Milo thanks briefly; phrase=request_space; no generated open chat.,repair awning,v60:milo:water_carry:d213:s16,water carry,True,True,True
3833,213,Sera,greet,greets_cautiously,Sera greets cautiously; phrase=greet; no generated open chat.,sort herbs,v60:sera:repair_promise:d213:s17,repair promise,True,True,True
3834,214,Tovan,offer_help,thanks_briefly,Tovan thanks briefly; phrase=offer_help; no generated open chat.,dry cloaks,v60:tovan:care_favor:d214:s00,care favor,True,True,True
3835,214,Nia,apologize,greets_cautiously,Nia greets cautiously; phrase=apologize; no generated open chat.,map safe route,v60:nia:route_warning:d214:s01,route warning,True,True,True
3836,214,Ari,ask_debt,accepts_bounded_help,Ari accepts bounded help; phrase=ask_debt; no generated open chat.,rest after rain,v60:ari:tool_loan:d214:s02,tool loan,True,True,True
3837,214,Fay,thank,explains_debt,Fay explains debt; phrase=thank; no generated open chat.,recover focus,v60:fay:water_carry:d214:s03,water carry,True,True,True
3838,214,Milo,request_space,declines_politely,Milo declines politely; phrase=request_space; no generated open chat.,repair awning,v60:milo:repair_promise:d214:s04,repair promise,True,True,True
3839,214,Sera,greet,names_current_task,Sera names current task; phrase=greet; no generated open chat.,sort herbs,v60:sera:missed_greeting:d214:s05,missed greeting,True,True,True
3840,214,Tovan,ask_schedule,asks_for_space,Tovan asks for space; phrase=ask_schedule; no generated open chat.,carry water,v60:tovan:care_favor:d214:s06,care favor,True,True,True
3841,214,Nia,offer_help,thanks_briefly,Nia thanks briefly; phrase=offer_help; no generated open chat.,dry cloaks,v60:nia:route_warning:d214:s07,route warning,True,True,True
3842,214,Ari,apologize,greets_cautiously,Ari greets cautiously; phrase=apologize; no generated open chat.,map safe route,v60:ari:tool_loan:d214:s08,tool loan,True,True,True
3843,214,Fay,ask_debt,accepts_bounded_help,Fay accepts bounded help; phrase=ask_debt; no generated open chat.,rest after rain,v60:fay:water_carry:d214:s09,water carry,True,True,True
3844,214,Milo,thank,explains_debt,Milo explains debt; phrase=thank; no generated open chat.,recover focus,v60:milo:repair_promise:d214:s10,repair promise,True,True,True
3845,214,Sera,request_space,declines_politely,Sera declines politely; phrase=request_space; no generated open chat.,repair awning,v60:sera:missed_greeting:d214:s11,missed greeting,True,True,True
3846,214,Tovan,greet,names_current_task,Tovan names current task; phrase=greet; no generated open chat.,sort herbs,v60:tovan:care_favor:d214:s12,care favor,True,True,True
3847,214,Nia,ask_schedule,asks_for_space,Nia asks for space; phrase=ask_schedule; no generated open chat.,carry water,v60:nia:route_warning:d214:s13,route warning,True,True,True
3848,214,Ari,offer_help,thanks_briefly,Ari thanks briefly; phrase=offer_help; no generated open chat.,dry cloaks,v60:ari:tool_loan:d214:s14,tool loan,True,True,True
3849,214,Fay,apologize,greets_cautiously,Fay greets cautiously; phrase=apologize; no generated open chat.,map safe route,v60:fay:water_carry:d214:s15,water carry,True,True,True
3850,214,Milo,ask_debt,accepts_bounded_help,Milo accepts bounded help; phrase=ask_debt; no generated open chat.,rest after rain,v60:milo:repair_promise:d214:s16,repair promise,True,True,True
3851,214,Sera,thank,explains_debt,Sera explains debt; phrase=thank; no generated open chat.,recover focus,v60:sera:missed_greeting:d214:s17,missed greeting,True,True,True
3852,215,Tovan,greet,accepts_bounded_help,Tovan accepts bounded help; phrase=greet; no generated open chat.,sort herbs,v60:tovan:route_warning:d215:s00,route warning,True,True,True
3853,215,Nia,ask_schedule,explains_debt,Nia explains debt; phrase=ask_schedule; no generated open chat.,carry water,v60:nia:tool_loan:d215:s01,tool loan,True,True,True
3854,215,Ari,offer_help,declines_politely,Ari declines politely; phrase=offer_help; no generated open chat.,dry cloaks,v60:ari:water_carry:d215:s02,water carry,True,True,True
3855,215,Fay,apologize,names_current_task,Fay names current task; phrase=apologize; no generated open chat.,map safe route,v60:fay:repair_promise:d215:s03,repair promise,True,True,True
3856,215,Milo,ask_debt,asks_for_space,Milo asks for space; phrase=ask_debt; no generated open chat.,rest after rain,v60:milo:missed_greeting:d215:s04,missed greeting,True,True,True
3857,215,Sera,thank,thanks_briefly,Sera thanks briefly; phrase=thank; no generated open chat.,recover focus,v60:sera:care_favor:d215:s05,care favor,True,True,True
3858,215,Tovan,request_space,greets_cautiously,Tovan greets cautiously; phrase=request_space; no generated open chat.,repair awning,v60:tovan:route_warning:d215:s06,route warning,True,True,True
3859,215,Nia,greet,accepts_bounded_help,Nia accepts bounded help; phrase=greet; no generated open chat.,sort herbs,v60:nia:tool_loan:d215:s07,tool loan,True,True,True
3860,215,Ari,ask_schedule,explains_debt,Ari explains debt; phrase=ask_schedule; no generated open chat.,carry water,v60:ari:water_carry:d215:s08,water carry,True,True,True
3861,215,Fay,offer_help,declines_politely,Fay declines politely; phrase=offer_help; no generated open chat.,dry cloaks,v60:fay:repair_promise:d215:s09,repair promise,True,True,True
3862,215,Milo,apologize,names_current_task,Milo names current task; phrase=apologize; no generated open chat.,map safe route,v60:milo:missed_greeting:d215:s10,missed greeting,True,True,True
3863,215,Sera,ask_debt,asks_for_space,Sera asks for space; phrase=ask_debt; no generated open chat.,rest after rain,v60:sera:care_favor:d215:s11,care favor,True,True,True
3864,215,Tovan,thank,thanks_briefly,Tovan thanks briefly; phrase=thank; no generated open chat.,recover focus,v60:tovan:route_warning:d215:s12,route warning,True,True,True
3865,215,Nia,request_space,greets_cautiously,Nia greets cautiously; phrase=request_space; no generated open chat.,repair awning,v60:nia:tool_loan:d215:s13,tool loan,True,True,True
3866,215,Ari,greet,accepts_bounded_help,Ari accepts bounded help; phrase=greet; no generated open chat.,sort herbs,v60:ari:water_carry:d215:s14,water carry,True,True,True
3867,215,Fay,ask_schedule,explains_debt,Fay explains debt; phrase=ask_schedule; no generated open chat.,carry water,v60:fay:repair_promise:d215:s15,repair promise,True,True,True
3868,215,Milo,offer_help,declines_politely,Milo declines politely; phrase=offer_help; no generated open chat.,dry cloaks,v60:milo:missed_greeting:d215:s16,missed greeting,True,True,True
3869,215,Sera,apologize,names_current_task,Sera names current task; phrase=apologize; no generated open chat.,map safe route,v60:sera:care_favor:d215:s17,care favor,True,True,True
3870,216,Tovan,thank,declines_politely,Tovan declines politely; phrase=thank; no generated open chat.,recover focus,v60:tovan:tool_loan:d216:s00,tool loan,True,True,True
3871,216,Nia,request_space,names_current_task,Nia names current task; phrase=request_space; no generated open chat.,repair awning,v60:nia:water_carry:d216:s01,water carry,True,True,True
3872,216,Ari,greet,asks_for_space,Ari asks for space; phrase=greet; no generated open chat.,sort herbs,v60:ari:repair_promise:d216:s02,repair promise,True,True,True
3873,216,Fay,ask_schedule,thanks_briefly,Fay thanks briefly; phrase=ask_schedule; no generated open chat.,carry water,v60:fay:missed_greeting:d216:s03,missed greeting,True,True,True
3874,216,Milo,offer_help,greets_cautiously,Milo greets cautiously; phrase=offer_help; no generated open chat.,dry cloaks,v60:milo:care_favor:d216:s04,care favor,True,True,True
3875,216,Sera,apologize,accepts_bounded_help,Sera accepts bounded help; phrase=apologize; no generated open chat.,map safe route,v60:sera:route_warning:d216:s05,route warning,True,True,True
3876,216,Tovan,ask_debt,explains_debt,Tovan explains debt; phrase=ask_debt; no generated open chat.,rest after rain,v60:tovan:tool_loan:d216:s06,tool loan,True,True,True
3877,216,Nia,thank,declines_politely,Nia declines politely; phrase=thank; no generated open chat.,recover focus,v60:nia:water_carry:d216:s07,water carry,True,True,True
3878,216,Ari,request_space,names_current_task,Ari names current task; phrase=request_space; no generated open chat.,repair awning,v60:ari:repair_promise:d216:s08,repair promise,True,True,True
3879,216,Fay,greet,asks_for_space,Fay asks for space; phrase=greet; no generated open chat.,sort herbs,v60:fay:missed_greeting:d216:s09,missed greeting,True,True,True
3880,216,Milo,ask_schedule,thanks_briefly,Milo thanks briefly; phrase=ask_schedule; no generated open chat.,carry water,v60:milo:care_favor:d216:s10,care favor,True,True,True
3881,216,Sera,offer_help,greets_cautiously,Sera greets cautiously; phrase=offer_help; no generated open chat.,dry cloaks,v60:sera:route_warning:d216:s11,route warning,True,True,True
3882,216,Tovan,apologize,accepts_bounded_help,Tovan accepts bounded help; phrase=apologize; no generated open chat.,map safe route,v60:tovan:tool_loan:d216:s12,tool loan,True,True,True
3883,216,Nia,ask_debt,explains_debt,Nia explains debt; phrase=ask_debt; no generated open chat.,rest after rain,v60:nia:water_carry:d216:s13,water carry,True,True,True
3884,216,Ari,thank,declines_politely,Ari declines politely; phrase=thank; no generated open chat.,recover focus,v60:ari:repair_promise:d216:s14,repair promise,True,True,True
3885,216,Fay,request_space,names_current_task,Fay names current task; phrase=request_space; no generated open chat.,repair awning,v60:fay:missed_greeting:d216:s15,missed greeting,True,True,True
3886,216,Milo,greet,asks_for_space,Milo asks for space; phrase=greet; no generated open chat.,sort herbs,v60:milo:care_favor:d216:s16,care favor,True,True,True
3887,216,Sera,ask_schedule,thanks_briefly,Sera thanks briefly; phrase=ask_schedule; no generated open chat.,carry water,v60:sera:route_warning:d216:s17,route warning,True,True,True
3888,217,Tovan,apologize,asks_for_space,Tovan asks for space; phrase=apologize; no generated open chat.,map safe route,v60:tovan:water_carry:d217:s00,water carry,True,True,True
3889,217,Nia,ask_debt,thanks_briefly,Nia thanks briefly; phrase=ask_debt; no generated open chat.,rest after rain,v60:nia:repair_promise:d217:s01,repair promise,True,True,True
3890,217,Ari,thank,greets_cautiously,Ari greets cautiously; phrase=thank; no generated open chat.,recover focus,v60:ari:missed_greeting:d217:s02,missed greeting,True,True,True
3891,217,Fay,request_space,accepts_bounded_help,Fay accepts bounded help; phrase=request_space; no generated open chat.,repair awning,v60:fay:care_favor:d217:s03,care favor,True,True,True
3892,217,Milo,greet,explains_debt,Milo explains debt; phrase=greet; no generated open chat.,sort herbs,v60:milo:route_warning:d217:s04,route warning,True,True,True
3893,217,Sera,ask_schedule,declines_politely,Sera declines politely; phrase=ask_schedule; no generated open chat.,carry water,v60:sera:tool_loan:d217:s05,tool loan,True,True,True
3894,217,Tovan,offer_help,names_current_task,Tovan names current task; phrase=offer_help; no generated open chat.,dry cloaks,v60:tovan:water_carry:d217:s06,water carry,True,True,True
3895,217,Nia,apologize,asks_for_space,Nia asks for space; phrase=apologize; no generated open chat.,map safe route,v60:nia:repair_promise:d217:s07,repair promise,True,True,True
3896,217,Ari,ask_debt,thanks_briefly,Ari thanks briefly; phrase=ask_debt; no generated open chat.,rest after rain,v60:ari:missed_greeting:d217:s08,missed greeting,True,True,True
3897,217,Fay,thank,greets_cautiously,Fay greets cautiously; phrase=thank; no generated open chat.,recover focus,v60:fay:care_favor:d217:s09,care favor,True,True,True
3898,217,Milo,request_space,accepts_bounded_help,Milo accepts bounded help; phrase=request_space; no generated open chat.,repair awning,v60:milo:route_warning:d217:s10,route warning,True,True,True
3899,217,Sera,greet,explains_debt,Sera explains debt; phrase=greet; no generated open chat.,sort herbs,v60:sera:tool_loan:d217:s11,tool loan,True,True,True
3900,217,Tovan,ask_schedule,declines_politely,Tovan declines politely; phrase=ask_schedule; no generated open chat.,carry water,v60:tovan:water_carry:d217:s12,water carry,True,True,True
3901,217,Nia,offer_help,names_current_task,Nia names current task; phrase=offer_help; no generated open chat.,dry cloaks,v60:nia:repair_promise:d217:s13,repair promise,True,True,True
3902,217,Ari,apologize,asks_for_space,Ari asks for space; phrase=apologize; no generated open chat.,map safe route,v60:ari:missed_greeting:d217:s14,missed greeting,True,True,True
3903,217,Fay,ask_debt,thanks_briefly,Fay thanks briefly; phrase=ask_debt; no generated open chat.,rest after rain,v60:fay:care_favor:d217:s15,care favor,True,True,True
3904,217,Milo,thank,greets_cautiously,Milo greets cautiously; phrase=thank; no generated open chat.,recover focus,v60:milo:route_warning:d217:s16,route warning,True,True,True
3905,217,Sera,request_space,accepts_bounded_help,Sera accepts bounded help; phrase=request_space; no generated open chat.,repair awning,v60:sera:tool_loan:d217:s17,tool loan,True,True,True
3906,218,Tovan,ask_schedule,greets_cautiously,Tovan greets cautiously; phrase=ask_schedule; no generated open chat.,carry water,v60:tovan:repair_promise:d218:s00,repair promise,True,True,True
3907,218,Nia,offer_help,accepts_bounded_help,Nia accepts bounded help; phrase=offer_help; no generated open chat.,dry cloaks,v60:nia:missed_greeting:d218:s01,missed greeting,True,True,True
3908,218,Ari,apologize,explains_debt,Ari explains debt; phrase=apologize; no generated open chat.,map safe route,v60:ari:care_favor:d218:s02,care favor,True,True,True
3909,218,Fay,ask_debt,declines_politely,Fay declines politely; phrase=ask_debt; no generated open chat.,rest after rain,v60:fay:route_warning:d218:s03,route warning,True,True,True
3910,218,Milo,thank,names_current_task,Milo names current task; phrase=thank; no generated open chat.,recover focus,v60:milo:tool_loan:d218:s04,tool loan,True,True,True
3911,218,Sera,request_space,asks_for_space,Sera asks for space; phrase=request_space; no generated open chat.,repair awning,v60:sera:water_carry:d218:s05,water carry,True,True,True
3912,218,Tovan,greet,thanks_briefly,Tovan thanks briefly; phrase=greet; no generated open chat.,sort herbs,v60:tovan:repair_promise:d218:s06,repair promise,True,True,True
3913,218,Nia,ask_schedule,greets_cautiously,Nia greets cautiously; phrase=ask_schedule; no generated open chat.,carry water,v60:nia:missed_greeting:d218:s07,missed greeting,True,True,True
3914,218,Ari,offer_help,accepts_bounded_help,Ari accepts bounded help; phrase=offer_help; no generated open chat.,dry cloaks,v60:ari:care_favor:d218:s08,care favor,True,True,True
3915,218,Fay,apologize,explains_debt,Fay explains debt; phrase=apologize; no generated open chat.,map safe route,v60:fay:route_warning:d218:s09,route warning,True,True,True
3916,218,Milo,ask_debt,declines_politely,Milo declines politely; phrase=ask_debt; no generated open chat.,rest after rain,v60:milo:tool_loan:d218:s10,tool loan,True,True,True
3917,218,Sera,thank,names_current_task,Sera names current task; phrase=thank; no generated open chat.,recover focus,v60:sera:water_carry:d218:s11,water carry,True,True,True
3918,218,Tovan,request_space,asks_for_space,Tovan asks for space; phrase=request_space; no generated open chat.,repair awning,v60:tovan:repair_promise:d218:s12,repair promise,True,True,True
3919,218,Nia,greet,thanks_briefly,Nia thanks briefly; phrase=greet; no generated open chat.,sort herbs,v60:nia:missed_greeting:d218:s13,missed greeting,True,True,True
3920,218,Ari,ask_schedule,greets_cautiously,Ari greets cautiously; phrase=ask_schedule; no generated open chat.,carry water,v60:ari:care_favor:d218:s14,care favor,True,True,True
3921,218,Fay,offer_help,accepts_bounded_help,Fay accepts bounded help; phrase=offer_help; no generated open chat.,dry cloaks,v60:fay:route_warning:d218:s15,route warning,True,True,True
3922,218,Milo,apologize,explains_debt,Milo explains debt; phrase=apologize; no generated open chat.,map safe route,v60:milo:tool_loan:d218:s16,tool loan,True,True,True
3923,218,Sera,ask_debt,declines_politely,Sera declines politely; phrase=ask_debt; no generated open chat.,rest after rain,v60:sera:water_carry:d218:s17,water carry,True,True,True
3924,219,Tovan,request_space,explains_debt,Tovan explains debt; phrase=request_space; no generated open chat.,repair awning,v60:tovan:missed_greeting:d219:s00,missed greeting,True,True,True
3925,219,Nia,greet,declines_politely,Nia declines politely; phrase=greet; no generated open chat.,sort herbs,v60:nia:care_favor:d219:s01,care favor,True,True,True
3926,219,Ari,ask_schedule,names_current_task,Ari names current task; phrase=ask_schedule; no generated open chat.,carry water,v60:ari:route_warning:d219:s02,route warning,True,True,True
3927,219,Fay,offer_help,asks_for_space,Fay asks for space; phrase=offer_help; no generated open chat.,dry cloaks,v60:fay:tool_loan:d219:s03,tool loan,True,True,True
3928,219,Milo,apologize,thanks_briefly,Milo thanks briefly; phrase=apologize; no generated open chat.,map safe route,v60:milo:water_carry:d219:s04,water carry,True,True,True
3929,219,Sera,ask_debt,greets_cautiously,Sera greets cautiously; phrase=ask_debt; no generated open chat.,rest after rain,v60:sera:repair_promise:d219:s05,repair promise,True,True,True
3930,219,Tovan,thank,accepts_bounded_help,Tovan accepts bounded help; phrase=thank; no generated open chat.,recover focus,v60:tovan:missed_greeting:d219:s06,missed greeting,True,True,True
3931,219,Nia,request_space,explains_debt,Nia explains debt; phrase=request_space; no generated open chat.,repair awning,v60:nia:care_favor:d219:s07,care favor,True,True,True
3932,219,Ari,greet,declines_politely,Ari declines politely; phrase=greet; no generated open chat.,sort herbs,v60:ari:route_warning:d219:s08,route warning,True,True,True
3933,219,Fay,ask_schedule,names_current_task,Fay names current task; phrase=ask_schedule; no generated open chat.,carry water,v60:fay:tool_loan:d219:s09,tool loan,True,True,True
3934,219,Milo,offer_help,asks_for_space,Milo asks for space; phrase=offer_help; no generated open chat.,dry cloaks,v60:milo:water_carry:d219:s10,water carry,True,True,True
3935,219,Sera,apologize,thanks_briefly,Sera thanks briefly; phrase=apologize; no generated open chat.,map safe route,v60:sera:repair_promise:d219:s11,repair promise,True,True,True
3936,219,Tovan,ask_debt,greets_cautiously,Tovan greets cautiously; phrase=ask_debt; no generated open chat.,rest after rain,v60:tovan:missed_greeting:d219:s12,missed greeting,True,True,True
3937,219,Nia,thank,accepts_bounded_help,Nia accepts bounded help; phrase=thank; no generated open chat.,recover focus,v60:nia:care_favor:d219:s13,care favor,True,True,True
3938,219,Ari,request_space,explains_debt,Ari explains debt; phrase=request_space; no generated open chat.,repair awning,v60:ari:route_warning:d219:s14,route warning,True,True,True
3939,219,Fay,greet,declines_politely,Fay declines politely; phrase=greet; no generated open chat.,sort herbs,v60:fay:tool_loan:d219:s15,tool loan,True,True,True
3940,219,Milo,ask_schedule,names_current_task,Milo names current task; phrase=ask_schedule; no generated open chat.,carry water,v60:milo:water_carry:d219:s16,water carry,True,True,True
3941,219,Sera,offer_help,asks_for_space,Sera asks for space; phrase=offer_help; no generated open chat.,dry cloaks,v60:sera:repair_promise:d219:s17,repair promise,True,True,True
3942,220,Tovan,ask_debt,names_current_task,Tovan names current task; phrase=ask_debt; no generated open chat.,rest after rain,v60:tovan:care_favor:d220:s00,care favor,True,True,True
3943,220,Nia,thank,asks_for_space,Nia asks for space; phrase=thank; no generated open chat.,recover focus,v60:nia:route_warning:d220:s01,route warning,True,True,True
3944,220,Ari,request_space,thanks_briefly,Ari thanks briefly; phrase=request_space; no generated open chat.,repair awning,v60:ari:tool_loan:d220:s02,tool loan,True,True,True
3945,220,Fay,greet,greets_cautiously,Fay greets cautiously; phrase=greet; no generated open chat.,sort herbs,v60:fay:water_carry:d220:s03,water carry,True,True,True
3946,220,Milo,ask_schedule,accepts_bounded_help,Milo accepts bounded help; phrase=ask_schedule; no generated open chat.,carry water,v60:milo:repair_promise:d220:s04,repair promise,True,True,True
3947,220,Sera,offer_help,explains_debt,Sera explains debt; phrase=offer_help; no generated open chat.,dry cloaks,v60:sera:missed_greeting:d220:s05,missed greeting,True,True,True
3948,220,Tovan,apologize,declines_politely,Tovan declines politely; phrase=apologize; no generated open chat.,map safe route,v60:tovan:care_favor:d220:s06,care favor,True,True,True
3949,220,Nia,ask_debt,names_current_task,Nia names current task; phrase=ask_debt; no generated open chat.,rest after rain,v60:nia:route_warning:d220:s07,route warning,True,True,True
3950,220,Ari,thank,asks_for_space,Ari asks for space; phrase=thank; no generated open chat.,recover focus,v60:ari:tool_loan:d220:s08,tool loan,True,True,True
3951,220,Fay,request_space,thanks_briefly,Fay thanks briefly; phrase=request_space; no generated open chat.,repair awning,v60:fay:water_carry:d220:s09,water carry,True,True,True
3952,220,Milo,greet,greets_cautiously,Milo greets cautiously; phrase=greet; no generated open chat.,sort herbs,v60:milo:repair_promise:d220:s10,repair promise,True,True,True
